timestep_time,vehicle_acceleration,vehicle_actualBatteryCapacity,vehicle_chargingStationId,vehicle_energyCharged,vehicle_energyChargedInTransit,vehicle_energyChargedStopped,vehicle_energyConsumed,vehicle_id,vehicle_lane,vehicle_maximumBatteryCapacity,vehicle_posOnLane,vehicle_speed,vehicle_timeStopped,vehicle_x,vehicle_y
0.00,0.0000,5000.0000,NULL,0.0000,0.0000,0.0000,0.0000,0,4_LaneR_2_0,10000.0000,4.6000,0.0000,0,-187.3500,-204.9500
1.00,1.4417,4990.5690,NULL,0.0000,0.0000,0.0000,9.4310,0,4_LaneR_2_0,10000.0000,6.0417,1.4417,0,-185.9083,-204.9500
1.00,0.0000,5000.0000,NULL,0.0000,0.0000,0.0000,0.0000,1,2_LaneMid_Up_1_0,10000.0000,4.6000,0.0000,0,-295.0500,-87.3500
2.00,2.5409,4959.7773,NULL,0.0000,0.0000,0.0000,30.7917,0,4_LaneR_2_1,10000.0000,10.0243,3.9826,0,-181.9257,-201.6500
2.00,1.6738,4988.8227,NULL,0.0000,0.0000,0.0000,11.1773,1,2_LaneMid_Up_1_0,10000.0000,6.2738,1.6738,0,-295.0500,-85.6762
2.00,0.0000,5000.0000,NULL,0.0000,0.0000,0.0000,0.0000,2,4_LaneMid_Dn_3_0,10000.0000,4.6000,0.0000,0,-104.9500,-212.6500
3.00,1.8331,4916.0304,NULL,0.0000,0.0000,0.0000,43.7468,0,4_LaneR_2_1,10000.0000,15.8399,5.8156,0,-176.1101,-201.6500
3.00,2.5433,4955.9863,NULL,0.0000,0.0000,0.0000,32.8363,1,2_LaneMid_Up_1_0,10000.0000,10.4908,4.2171,0,-295.0500,-81.4592
3.00,1.9611,4986.5724,NULL,0.0000,0.0000,0.0000,13.4276,2,4_LaneMid_Dn_3_0,10000.0000,6.5611,1.9611,0,-104.9500,-214.6111
3.00,0.0000,5000.0000,NULL,0.0000,0.0000,0.0000,0.0000,3,3_LaneMid_Dn_0_0,10000.0000,4.6000,0.0000,0,-404.9500,-112.6500
4.00,1.8911,4856.9216,NULL,0.0000,0.0000,0.0000,59.1088,0,4_LaneR_2_1,10000.0000,23.5466,7.7068,0,-168.4034,-201.6500
4.00,1.6313,4912.9540,NULL,0.0000,0.0000,0.0000,43.0324,1,2_LaneMid_Up_1_0,10000.0000,16.3392,5.8484,0,-295.0500,-75.6108
4.00,2.2782,4954.1101,NULL,0.0000,0.0000,0.0000,32.4623,2,4_LaneMid_Dn_3_0,10000.0000,10.8005,4.2394,0,-104.9500,-218.8505
4.00,1.6338,4989.1281,NULL,0.0000,0.0000,0.0000,10.8719,3,3_LaneMid_Dn_0_0,10000.0000,6.2338,1.6338,0,-404.9500,-114.2838
4.00,0.0000,5000.0000,NULL,0.0000,0.0000,0.0000,0.0000,4,2_LaneMid_Up_2_0,10000.0000,4.6000,0.0000,0,-195.0500,-87.3500
5.00,2.0123,4780.5599,NULL,0.0000,0.0000,0.0000,76.3618,0,4_LaneR_2_1,10000.0000,33.2657,9.7190,0,-158.6843,-201.6500
5.00,1.8638,4853.9880,NULL,0.0000,0.0000,0.0000,58.9660,1,2_LaneMid_Up_1_1,10000.0000,24.0515,7.7122,0,-298.3500,-67.8985
5.00,1.9940,4906.2491,NULL,0.0000,0.0000,0.0000,47.8611,2,4_LaneMid_Dn_3_0,10000.0000,17.0338,6.2334,0,-104.9500,-225.0838
5.00,1.7251,4964.9311,NULL,0.0000,0.0000,0.0000,24.1970,3,3_LaneMid_Dn_0_1,10000.0000,9.5926,3.3589,0,-401.6500,-117.6426
5.00,2.5922,4981.2896,NULL,0.0000,0.0000,0.0000,18.7104,4,2_LaneMid_Up_2_0,10000.0000,7.1922,2.5922,0,-195.0500,-84.7578
5.00,0.0000,5000.0000,NULL,0.0000,0.0000,0.0000,0.0000,5,2_LaneL_2_0,10000.0000,4.6000,0.0000,0,-112.6500,4.9500
6.00,2.5399,4677.1061,NULL,0.0000,0.0000,0.0000,103.4537,0,4_LaneR_2_1,10000.0000,45.5246,12.2590,0,-146.4254,-201.6500
6.00,2.5217,4768.6453,NULL,0.0000,0.0000,0.0000,85.3427,1,2_LaneMid_Up_1_1,10000.0000,34.2854,10.2339,0,-298.3500,-57.6646
6.00,1.7113,4846.5312,NULL,0.0000,0.0000,0.0000,59.7178,2,4_LaneMid_Dn_3_0,10000.0000,24.9785,7.9447,0,-104.9500,-233.0285
6.00,1.4617,4930.4126,NULL,0.0000,0.0000,0.0000,34.5185,3,3_LaneMid_Dn_0_1,10000.0000,14.4132,4.8206,0,-401.6500,-122.4632
6.00,2.1814,4944.6304,NULL,0.0000,0.0000,0.0000,36.6592,4,2_LaneMid_Up_2_0,10000.0000,11.9658,4.7736,0,-195.0500,-79.9842
6.00,2.2561,4984.1611,NULL,0.0000,0.0000,0.0000,15.8389,5,2_LaneL_2_0,10000.0000,6.8561,2.2561,0,-114.9061,4.9500
6.00,0.0000,5000.0000,NULL,0.0000,0.0000,0.0000,0.0000,6,0_LaneR_4_0,10000.0000,4.6000,0.0000,0,12.6500,195.0500
7.00,1.1155,4582.9850,NULL,0.0000,0.0000,0.0000,94.1211,0,4_LaneR_2_1,10000.0000,58.8991,13.3744,0,-133.0509,-201.6500
7.00,1.7765,4676.2192,NULL,0.0000,0.0000,0.0000,92.4261,1,2_LaneMid_Up_1_1,10000.0000,46.2958,12.0104,0,-298.3500,-45.6542
7.00,1.4461,4777.9429,NULL,0.0000,0.0000,0.0000,68.5884,2,4_LaneMid_Dn_3_0,10000.0000,34.3693,9.3908,0,-104.9500,-242.4193
7.00,1.3792,4886.0749,NULL,0.0000,0.0000,0.0000,44.3377,3,3_LaneMid_Dn_0_1,10000.0000,20.6131,6.1999,0,-401.6500,-128.6631
7.00,1.5284,4898.6921,NULL,0.0000,0.0000,0.0000,45.9383,4,2_LaneMid_Up_2_0,10000.0000,18.2678,6.3020,0,-195.0500,-73.6822
7.00,2.2008,4950.0737,NULL,0.0000,0.0000,0.0000,34.0874,5,2_LaneL_2_0,10000.0000,11.3131,4.4569,0,-119.3631,4.9500
7.00,1.9331,4986.7958,NULL,0.0000,0.0000,0.0000,13.2042,6,0_LaneR_4_0,10000.0000,6.5331,1.9331,0,14.5831,195.0500
7.00,0.0000,5000.0000,NULL,0.0000,0.0000,0.0000,0.0000,7,1_LaneL_3_0,10000.0000,4.6000,0.0000,0,-12.6500,104.9500
8.00,-0.9132,4524.8806,NULL,0.0000,0.0000,0.0000,58.1044,0,4_LaneR_2_1,10000.0000,71.3603,12.4612,0,-120.5897,-201.6500
8.00,1.4873,4575.8857,NULL,0.0000,0.0000,0.0000,100.3335,1,2_LaneMid_Up_1_1,10000.0000,59.7935,13.4977,0,-298.3500,-32.1565
8.00,1.3564,4700.1065,NULL,0.0000,0.0000,0.0000,77.8363,2,4_LaneMid_Dn_3_0,10000.0000,45.1165,10.7472,0,-104.9500,-253.1665
8.00,1.6061,4828.1957,NULL,0.0000,0.0000,0.0000,57.8792,3,3_LaneMid_Dn_0_1,10000.0000,28.4191,7.8060,0,-401.6500,-136.4691
8.00,2.3932,4827.8074,NULL,0.0000,0.0000,0.0000,70.8848,4,2_LaneMid_Up_2_1,10000.0000,26.9629,8.6952,0,-198.3500,-64.9871
8.00,2.5579,4892.7520,NULL,0.0000,0.0000,0.0000,57.3217,5,2_LaneL_2_0,10000.0000,18.3279,7.0148,0,-126.3779,4.9500
8.00,2.2923,4954.4188,NULL,0.0000,0.0000,0.0000,32.3770,6,0_LaneR_4_0,10000.0000,10.7586,4.2254,0,18.8086,195.0500
8.00,1.8924,4987.1195,NULL,0.0000,0.0000,0.0000,12.8805,7,1_LaneL_3_0,10000.0000,6.4924,1.8924,0,-14.5424,104.9500
8.00,0.0000,5000.0000,NULL,0.0000,0.0000,0.0000,0.0000,8,2_LaneMid_Up_4_0,10000.0000,4.6000,0.0000,0,4.9500,-87.3500
